name,earthone_link,organisation,title,location,website,instagram_link,linkedin_link,nationality,bio,offer,need,action,guild,earthone_role
De Kai,https://earthone.world/alliance/de-kai,Berkeley ICSI / Hong Kong UST / The Future Society,AI PIONEER/PROFESSOR/ETHICIST,"San Juan, PR, USA / San Franciso, CA, USA / Sai Kung, NT, Hong Kong",https://dek.ai,https://instagram.com/dekai1,https://linkedin.com/in/dekai,USA,"AI professor honored as Founding ACL Fellow for pioneering contributions to Google Translate. Independent director, AI ethics think tank The Future Society. Inaugural member, Google AI ethics council. Focus: language, bias, polarization and AI. Author, ""Raising AI"", coming Spring '25 from MIT Press.","
Humanity already has the resources, talent, and technology to solve all our challenges across the SDGs. What we lack is the social will.
Unfortunately, much of the same AI tech for good that folks like me helped pioneer is instead being deployed in social media, recommendation, search, chatbot, and newsfeed algorithms in ""post-truth"" ways that amplify and harden unconscious biases, misunderstandings, fearmongering, hatred, polarization, politicization, demonization, and dehumanization.
My theory of change is that we can only move the politicians and executives by first moving the public, as I did in our wildly successful media campaign for Covid universal masking.
I am using the voice I'm privileged to have as an AI pioneer to shine bright light upon the existentially dangerous unconscious ways that AIs are sapping our social will on all the SDGs, and to built a movement to demand that AI algorithms stop dragging us into a new AI Dark Ages and instead to become the catalyst for a new AI Age of Englightment.","
Honestly: funding. I'm the last of my peer level to have consistently declined all the lucrative opportunities from big tech, because I know they would silence me on these challenges as they have my colleagues there. The amounts needed are small by Silicon Valley standards, but my academic income alone is not enough to self-finance the scale of media communications and R&D required to overcome heavy systemic resistance.","
(1) Identify a small group of charter patrons as donors.
(2) Network of communications, media, and filmmaking partners.
(3) Allies on new enabling tech and data sources.",INTELLIGENCES,FELLOW
Denise Hontiveros,https://earthone.world/alliance/denise-hontiveros,"Metamorphosis, MakeConscious, Seekers Society, Earth Society, Dragon Kin, CreatorPro","AI CMO, CONSCIOUS COCREATOR, MULTIDIMENSIONAL MOTHER",San Francisco,,https://www.instagram.com/denisehontiveros/profilecard/?igsh=MzRlODBiNWFlZA==,https://www.linkedin.com/in/denisehontiveros,,"AI Fractional CMO and creative collaborator working with entrepreneurs, leaders and practitioners to magnetize abundance and audience expansion for regenerative businesses, social impact ventures, global Earth-based initiatives, conscious communities and facilitators elevating human potential.","
I offer a unique blend of spiritual depth, creativity, AI-powered innovation, and business strategy to help leaders co-create abundance and meaningful impact for human and planetary well-being. Together, we align your project’s vision with the highest good for humanity and Earth, fostering impact, expansion, and collective elevation. Let’s ignite regenerative abundance together.","
Connections to aligned projects and leaders. I am calling in projects and people ready for rocket dragon fuel to ignite their ventures, where my energy and generator capacity power their escape velocity to scale impact and reach broader audiences aligned with the resonant frequency of their offerings. Open to collaborations needing regenerative abundance.","
Invite deep listeners and underrepresented voices and old souls to the table. See beyond the external personalities and personas we carry, drop deeply into soul to soul connection and conversation.
Let’s come together as a community to ensure the soul of our organizations, projects, and the land we impact has a voice and a seat at the decision-making table. By integrating deep energetic-spiritual practices with innovative strategies, we can co-create aligned growth and amplify meaningful impact in resonance with the highest purpose for Earth and humanity.",,
Dorina Serban,https://earthone.world/alliance/dorina-serban,,,,,https://www.instagram.com/dori.ser/profilecard/?igsh=ZGk5Z2ZmdnB6eHc=,https://www.linkedin.com/in/dorina-serban,Romanian,,,,,,
Dr. Anita Sanchez,https://earthone.world/alliance/dr-anita-sanchez,"Bioneers, Wisdom Weavers, Fire Circle Earth, Kinship Earth, Well Being Project,  Earth Wise Centre","AUTHOR, MESSENGER, CONSULTANT, TRAINER,  PODCAST HOST","Boulder, Colorado,  USA",www.Anita-Sanchez.com,https://instagram.com/dranitasanchez/,https://linkedin.com/in/anita-sanchez/,,"Anita Sanchez, PhD, Nahua (Aztec), Toltec, and Mexican American, inspires people to discover and trust their gifts so that they become a life-giving force to all, people and the earth. Dr. Anita
is an author, consultant, trainer, podcast host, speaker to Fortune 500 corporations, education, and non-profit organizations. Anita bridges indigenous wisdom and science for individual to societal renewal focusing on leadership, diversity, equity, inclusion and cultural transformation. Board member of the Bioneers, Kinship Earth, member of the Transformational Leadership Council and Evolutionary Leaders. Auntie Dr. Anita is an Elder Council member of The Wellbeing Project, Wisdom Weavers of the World, and the Fire Circle Earth. Author of seven books including her international award-winning book, The Four Sacred Gifts: Indigenous Wisdom for Modern Times. www.FourSacredGifts.com Find Four Sacred Gifts podcast on your favorite podcast app and YouTube. Her recent awards include 2022 Mogul’s Top 100 DEI Leaders, 2020 Conscious Company Media “World Changing Woman” and 2020 World Woman’s Foundation “Woman of the Hour” #SheisMyHero campaign to inspire one million girls to live their dreams and leadership. Anita leads an annual journey to the sacred headwaters of the Amazon, Ecuador, to learn from the Achuar, the Sapara people, and the Rainforest. Learn more: www.Anita-Sanchez.com","
Theory of Change: Local, indigenous & traditional wisdom
Hundreds of thousands of communities and cultures around the globe live interconnected with nature. By exchanging knowledge, and growing relationships rooted in reciprocity we can cultivate powerful networks of solidarity.       Understanding human behavior: Social science confirms that emotions dominate our decision making and that we have a fundamental need for connection and belonging. This is true of our relationships with our communities and the Earth. 
 Catalyzing partnerships: There are constellations of creative and disruptive endeavors around the world determined to shift our cultural narrative. By aligning and amplifying these efforts we will transform individual and collective beliefs and actions.
Unique skill:  messenger of Eagle Hoop Prophecy,  weaving indigenous wisdom with ""western science"", business,  society       What can our community learn from you?   Eagle Hoop Prophecy and the Four Sacred Gifts, process es for letting go and embracing change, large scale culture change, drawing on the strengths of diversity & inclusion","
* expanding the reach of my messages (podcast, books, speaking...) to move beyond the illusion of separation, to intimate interconnection by drawing on indigenous living wisdom in solving the problems facing our world","
Create and foster powerful partnerships and strategies  for shifting the dominant world view from separation to connectedness ,  from destruction to love and care of the earth and each other",,
Dr. Bruce D. Shephard,https://earthone.world/alliance/dr-bruce-d-shephard,Hillsborough County Medical Association Foundation,PRESIDENT,"Tampa, Florida",,,,,"Dr. Shephard is Affiliate Associate Professor of Obstetrics and Gynecology at the University of South Florida College of Medicine in Tampa, Florida. He graduated Phi Beta Kappa from the University of California, Berkeley, attended medical school at the University of California, San Francisco, and completed his Ob-Gyn residency at the University of Miami, Florida.
A former McCain Fellow at the American College of Obstetricians and Gynecologists and principal author of “The Complete Guide to Women’s Health,” Dr. Shephard is a frequent speaker and writer on women’s health issues. A previous president of the Hillsborough County Medical Association, he currently serves as president of the HCMA Foundation. Dr. Shephard serves on HMO medical advisory boards for Wellcare and AVMed health plans and as a medical case reviewer for both the Health Resources and Services Administration and the Agency for Health Care Administration, Florida. A 2009 selectee of the Marquis’ Who’s Who in Medicine and Healthcare, he received the Albert N. Marquis Lifetime Achievement Award in 2018.","
Change is complex and ubiquitous. Change may involve individuals, organizations, political structures (from neighborhoods to nation-states), and more. It may be intentional (personal growth) or involuntary (hurricanes in Florida). Intentional change requires at least two fundamental qualities: awareness or belief that change is needed, and secondly a conscious plan with action steps to attempt to accomplish it.  My strengths: organizing anything from day planning to life goals.","
Achieving and sustaining a steady life balance in regard to family, friends, community, work and play.","
Let's see how others approach this topic, what solutions or approaches work for them.",,
Duarte Ribeiro,https://earthone.world/alliance/duarte-ribeiro,Future of Cities,PARTNER,"Porto, Portugal",https://www.focities.com/portugal,,https://www.linkedin.com/in/duartemeloribeiro/,Portuguese,"Duarte, a dedicated impact investor, entrepreneur, and filmmaker, resides in Porto and boasts +10 years of experience spearheading his family office’s investments.
He has co-established multiple ventures alongside his wife Maria, notably a tech startup collaborating with global impact networks and companies. As a managing partner for Future of Cities Portugal, Duarte is leading the expansion to Europe and local impactful projects.
He is also actively engaged in the regenerative movement in Portugal, including transforming the family wine farm into a practice of regenerative agriculture.","
Passionate about systems change, impact and climate. I am an ecosystem builder and currently investing in real estate based projects with an impact and regenerative lens. 

I have an extended network in the impact world, that I am happy to open to the Earth One Community. 
One of our offerings is the possibility to get european citizenship for a person and their family, thgourhg an investment in Portugal.","
Understanding how to effectively drive systems change and actually move the needle in some of the worlds big issues. 

Locally, we want to put portugal on the global map and attract world inovators, impact entrepreneurs, investors and grow a values align community!","
Projects and best practices in the built environment. 
New models for governance and spiritual leadership to achieve systems change.",,
Duncan Ross,https://earthone.world/alliance/duncan-ross,"Kimera Labs is a clinical stage biopharmaceutical company that delivered the first placental MSC exosome to the market in 2015. Kimera received IND approval from the FDA for intravenous administration for post-covid inflammation and is now expanding its pipeline across a number of indications with a focus on longevity, aesthetics, neurological disease and organ dysfiunction.",CEO AND FOUNDER KIMERA LABS INC,Miami/LA USA,www.Exosomes.com,https://instagram.com/drxophd,https://www.linkedin.com/in/duncanrossphd,,"Duncan Ross, Ph.D.
Founder/CEO
Kimera® Labs, Inc.
When his Oceanographer father was diagnosed with acute myeloid
leukemia, and successful options for his particular case were few and
far between, Dr. Duncan Ross committed himself to search for a cure.
To this end, Dr. Ross enrolled in the Ph.D. program at the University
of Miami in Coral Gables, Florida, ultimately obtaining a dual
education in the departments of biochemistry and immunology. Dr.
Ross subsequently became an expert in stem cell culture, developing
proprietary methods of stem cell manipulation and licensing using
growth factors and nucleic acids, methods which are utilized daily in
the work performed by Kimera Labs, the company founded by Dr.
Ross and currently recognized as the leader in the field of
Mesenchymal stem cell (MSC) exosome production.
Dr. Ross’s research in exosome isolation from perinatal cells and amniotic fluid and the
development of cell-free exosome products, has been and continues to be employed by many
physicians and clinics in a variety of aesthetic and regenerative medicine protocols. Dr. Ross has
been featured in various peer reviewed publications including Blood and Biology of Blood and
Marrow Transplantation, and most recently in Nature in October of 2023. As well, Dr. Ross and Kimera Labs have
received FDA Phase I/IIa Investigational New Drug (IND) clearance for a human study utilizing
MSC exosomes.
Dr. Ross is also the founding board member of the nonprofit research organization, The Kimera
Society, which has developed a number of clinical partners in the US and abroad by serving as An educational conduit for clinics","
Since 2012, we have treated over 500,000 patients using the power mesenchymal stem cells and placenta derived MSC Exosomes to treat indications as varying as burns to stroke, renal dysfunction to aging related frailty.

Using the combination of focused ultrasound to the brain and intravenous delivery of young FDA IND approved Exosomes, we plan to extend our lifespan well past 100 years and are competing to document this within the longevity XPRIZE as well as a number of independent clinical trials with the FDA and regulatory agencies outside of the US.","
With so many uses for placental MSC Exosomes, we need teams dedicated to funding and delivering each indication to those in need in markets around the world.","
I invite the participants of this Earth One Community to experience what I and others in our group are achieving for ourselves…be it in lowering our aging markers, recovering from strokes, creating fertility, curing the everyday wound to improving social awareness allowing one to play 4.5 level tennis at the age of 50.",,
Duygu Tanguler,https://earthone.world/alliance/duygu-tanguler,"Pfizer, Bonjuk Bay, Asylum for Regugees",UNIVERSALIST UNITARIAN,"Switzerland, Turkey, USA",www.bonjukbay.com,https://www.instagram.com/Duyguisabel,https://duygu%20lale%20tanguler/,USA,"Over 2 decades in biotechnology as profession & many passion projects in mental health, for refugees, disaster & suicide support, childhood cancers and building interfaith communities gathered for purpose & joy","
Connect & help","
Inspiration for unity & impact","
Mental health due to isolation & value erosion",,
Eduardo Castillo,https://earthone.world/alliance/eduardo-castillo,WNDRFL / HABITAS,"FATHER, MUSICIAN, ACTIVIST, ENTREPRENEUR",Venezuela,,https://www.instagram.com/eduardocastilllo,,American,"Eduardo Castillo, a Venezuelan-born, composer, entrepreneur and activist, harnesses the transformative power of music to foster environments where self-expression, rediscovery, and deep human connections thrive. With an unwavering commitment to crafting one-of-a-kind improvisational live music experiences, Castillo's concerts are a testament to the magic of spontaneity—each event is a singular, unrepeatable journey that transcends geographical and cultural boundaries.
His musical odyssey, deeply rooted in an African heritage, is enriched by extensive studies in orchestration, opera, and minimalism, reflecting a profound reverence for both contemporary and classical maestros. Castillo's compositions are a mosaic of vibrant diversities, and poignant nostalgia, inviting audiences into narratives woven through dynamic waves, textures, and emotions.
Beyond his celebrated performances, Castillo was the visionary co-founder and creative director of HABITAS, a global hospitality company that encapsulates his ethos of unity and transformation through human connection and purpose.
Eduardo now is embarking on his next project, WNDRFL, an impact driven platform where he takes what was created with Habitas to new heights.",,,"
I call everyone  and anyone to live a life or purpose and happiness.  I call on humans to understand the interconnectedness of it all and to help invoke Overview Effect moments is each other.  Empathy and human connection must reign.",,
Ehren Hanson,https://earthone.world/alliance/ehren-hanson,Viewcy,MUSICIAN. CEO OF VIEWCY.COM,"Brooklyn, NY, USA",www.viewcy.com,https://instagram.com/ehrenjhanson,https://www.linkedin.com/in/ehrenjhanson,,"Ehren Hanson is professional NYC based tabla player. He began learning tabla at age 15 and in 2000, he became a disciple of legendary tabla maestro Pandit Anindo Chatterjee, with whom he has been a dedicated disciple ever since. His early training was from Misha Masud, and he has had the fortune of also receiving taleem from Ray Spiegel of Panjab gharana.
Ehren performs classical Indian music as a soloist and accompanist in NY and around the world. He has the fortune of accompanying maestros including the late Pandit Ramesh Mishra, late Pandit Subrata Roy Chowdhury, Pandit Krishna Bhatt, and many others.
He has also collaborated on experimental and creative projects with West African giant Noura Mint Seymali, Cuban legend Bobby Carcasess, Roman Diaz, the American Symphony Orchestra, and many others.
He is the co-host of the Brooklyn Court - a music series featuring touring and local artists in an intimate setting, reminiscent of the royal courts of Indian history.
Ehren is also the founder of Viewcy--a set of tools for promoting events, and a professional network for artists, venues, and patrons.","
I am here to offer my music.  I am a tabla player and am attending to perform with Manik Khan, Arjun Verma, and Camila Celin.  I am also interested in conversations, panels, or any other programming related to innovations to the business of art and culture, the preservation of traditional culture, and Universal Basic Income for artists.","
In my work, I always need to meet new people passionate about art and music.  Community builders, artists, patrons, and investors are people I need to connect with.  

Marketing is another big challenge.  If there are any expert marketers or story tellers out there, lets meet!","
Building community around music and culture?  Let's meet!",,
Eileen Hall Munoz,https://earthone.world/alliance/eileen-hall-munoz,"Eileen Hall Studio
Sustainable Development Fund Ecuador 
Regenerative Finance for Food and Forestry Transformation",CREATIVE DIRECTOR - ARTIST - CURATOR - FUNDRAISER - EXPERIENCE DESIGNER,Scotland,www.tayos.org,https://www.instagram.com/hall_eileen/,,British,"Eileen Hall is an Ecuadorean/Scottish Creative Director, Curator, Artist, and Explorer whose work focuses on the intersection between nature protection, regeneration, systems change, science and creativity.
She is a founding director of the Sustainable Development Fund in Ecuador (CDS) which is looking to protect millions of hectares of amazon rainforest and other key biodiversity areas. Co-creating alongside indigenous and mestizo communities to nurture new green economies that will support these ecologies for the long run.
She is also on the advisory board for the “Regenerative Finance for Food & Forestry Transformation” charity which will focus on supporting land stewards in Africa and Latin America.
As an artist, her watercolour paintings and immersive experiences are designed as spaces for dreaming, meditation, reflection and healing, all imbued with her research into the textures of consciousness, nature connection and music.","
My niche is working with in Ecuador to protect the amazon rainforest. My key skills come in the form of creatively strategising solutions and bringing the power of the arts, architecture and music to shift the cultural story of our relationship to nature and its role in our wellbeing. I also weave my spiritual practices into everything I do, with a special focus on shamanic tools and dreamwork.","
Funding and stopping government from allowing destructive companies to work in these key biodiversity areas.","
Help with funding and partnership",,FELLOW
Elena Villarreal Guajardo,https://earthone.world/alliance/elena-villarreal-guajardo,,,"Monterrey, México",,https://www.instagram.com/elenavillarrealg,,,,"
I am a Mexican medical student. 
I’m currently completing my internship and am very interested in everything surrounding gut and mental health (including emerging therapies like psychedelics). 
I strongly believe in regenerative agriculture and fermentation; I trust we can achieve a more sustainable and healthy way of life through these practices.","
After completing my studies and gaining confidence in my knowledge, I want to find the most effective way to communicate and help others on complex and often controversial topics.",,,
Eli Light,https://earthone.world/alliance/eli-light,Altar/Caravan of Light,"MUSIC ALCHEMIST, DJ",Miami,www.caravanoflight.com,https://www.instagram.com/elilight9?igsh=MWkyZWV0dmI4eTEzbg==,,,"Originally from Colombia, Miami based DJ & Impactful Experience designer - Eli Light Brings to the scene a deeply rooted collection of ancient indigenous emotions and evokes a cosmic universal dance experience within.
Inspired by her travels to magical places around the world, Eli's Music transcends all borders transporting her listenings far beyond the frontiers of consciousness.
Founder of ALTAR a Ceremonial Event brand, Eli light's rhythmic beats intersect high vibrational realms liberating us from the mind & bringing individual together by collectively renewing our relationship with self, one another & with Mother Nature. Eli invokes the highest Feminine principle bringing for a transformational experience, Expressed through ritual dance & Ceremonial activation...Honoring our planetary phases of the moon, Healing portals are open UP. recalibrating our personal passion for Music, Art and Spirituality.","
as an Impactful Experience Designer, I can align my  music sets  with causes, creating immersive experiences that go beyond entertainment. By curating music and using it as a tool of transformation & healing I enhance the energy &  intention of impact oriented  events, I can help amplify their message. for example the conservation of the glaciers in Colombia, the COP Egypt & Transformative impart Summit In NYC.","
Need help by building an Authentic Brand that can stand out from an oversaturated market.  Reaching  many more hearts & to be connected with the right festivals , gatherings to create financial prosperity so I can continue creating more transformational experiences.","
Empower & support the next face of my mission & projects....through collaborations or contributions  in whatever form will help me & everyone that I touch thrive , by sharing my music , events and brands with the world , your support ensures  that my mission not only stays alive but becomes a sustainable force for all...",,
Elisa Rose Goddard,https://earthone.world/alliance/elisa-rose-goddard,,"MUSICIAN, SOMATIC FACILITATOR, COMMUNITY STEWARD",Ojai CA USA,www.Elisarose.com,https://www.instagram.com/elisarosemusica,,USA,Already provided one,"
Musician - singer songwriter, medicine and devotional music, DJ and dancefloor curator. 
Somatic Facilitator - student and teacher of embodied creativity, authenticity and expression. Founder of InnerBody: Alchemy through Movement & Sound. 
Community Steward - currently leading Full Circle, an intentional community in Ojai CA that my father started in 1980.","
- Funding to fulfill my vision for Full Circle is my number one challenge. 
Always excited by aligned invitations to share music InnerBody.","
Seeking sponsors to support Full Circle becoming a hub for healing, community and creativity.",,
Elizabeth Stewart,https://earthone.world/alliance/elizabeth-stewart,,,,,,https://www.linkedin.com/in/elizstewart,USA,,"
TOC: The stories we tell and give attention to, create our reality. We must tell better stories.  Skills: Cross-sector weaving; systems-thinking; social innovation; piloting new ideas with multi-stakeholder engagement; team-building; strategy and planning; energetic alignment; prismatic thinking; sense-making","
Cross-sector partnerships; financial resource to dedicate the time it requires; grassroots campaign and social marketing expertise","
Ambassadors who will open the paths to spreading this history and the stories far and wide, and help facilitate deep acceptance and the spaces for exploring a practice of interdependence within various societal domains.",GOVERNANCE,FELLOW
Elyse Lee,https://earthone.world/alliance/elyse-lee,,"EXECUTIVE DIRECTOR, NAMUNA
CHIEF OF STAFF, THE SPACE BETWEEN",,www.elyse.io,https://www.instagram.com/elyse.io/,,,,"
- Philanthropy, flow funding, regenerative systems change, gift consciousness
- Connecting practitioners, communities, and sacred sites in harmony with nature","
Coordinating with more values-aligned organizations to reduce inefficiencies and provide more access to support",,,
Emilie McGlone,https://earthone.world/alliance/emilie-mcglone,Peace Boat US  | Ecoship,EXECUTIVE DIRECTOR OF PEACE BOAT US,"Brooklyn, New York",https://www.peaceboat-us.org,https://www.instagram.com/emilie_mcglone/,https://www.linkedin.com/in/emilie-mcglone/,USA,"Emilie McGlone has been working with Peace Boat since 2004 and currently is the United Nations liaison and Director of the New York-based office of Peace Boat US, a non-profit organization working to promote peace, sustainable development and respect for the environment through educational programs organized onboard the Peace Boat, a chartered passenger ship that travels the world on peace voyages. Peace Boat holds Special Consultative Status with the Economic and Social Council of the United Nations and works in partnership with UN representatives, Nobel Peace Laureates and community leaders from around the world to create opportunities for international cooperation focused on environmental sustainability, cultural awareness and peace education.
Emilie works to foster youth education and develops specific programs to learn about important global issues onboard the Peace Boat. In June of 2023, Emilie founded the “Youth for the SDGs” scholarship program for the United Nations Ocean Decade, which was officially endorsed by IOC UNESCO as a ‘Contribution’ to the Decade. This program will continue to educate and provide experiences for youth leaders working towards ocean and climate action around the world until 2030.
Founded in 1983 and nominated for the Nobel Peace Prize in 2008, Peace Boat has sailed on over 100 global voyages, carrying more than 70,000 people to more than 100 countries. Peace Boat has recently launched a new initiative to build an Ecoship to sail around the world, showcasing green technology and design, while inspiring positive change to radically reduce our carbon footprint. Peace Boat is a committed campaigner for the UN Sustainable Development Goals, sailing with the SDGs Logo on the hull of the ship. Peace Boat's Ecoship Project will build the world’s most sustainable passenger ship. A flagship for the SDGs, Ecoship seeks to address ocean acidification with reduced carbon emissions and significantly reduce marine pollution.
Contact: emilie@peaceboat-us.org
INFO: www.peaceboat-us.org | www.ecoship-pb.com","
Sailing across borders, we hope to inspire ocean and climate action through creative programs and experiential learning with local communities around the world.","
We are working towards building the world's first sustainable vessel to sail the world and we would like to partner with like-minded individuals and groups who want to see a more regenerative future. Our Ecoship will sail as a true flagship for sustainability, setting an example for the whole world and maritime industry - imagine the ripple effect. Let's do this together!","
Anyone who is interested in decarbonization, regenerative lifestyles and sustainable travel, we would like to partner with you for the UN Ocean Decade to create a ship to sail for the United Nations Sustainable Development Goals and bring together communities from around the world, using creative design and innovative technology. We welcome any and all partners to be part of this dream project!",OCEAN,FELLOW
Emmanuel Marie Rengade,https://earthone.world/alliance/emmanuel-marie-rengade,We Are Nature,FOUNDER,Planet Earth,,,,French,,,,,,
eO,https://earthone.world/alliance/eo,,PRODUCER / COMPOSER / PERFORMER / TEACHER / EXPERIENCE DESIGNER,"Sebastopol, California, USA",soundcloud.com/soundsliketree,https://instagram.com/soundsliketree/%20(personal)%20&%20https://www.instagram.com/lookingstones/%20(rocks),https://linkedin.com/in/ericoberthaler,,,"
* Monkey Chant, Music Improv & Witnessing Faciliation
* Languorous Trumpet with Downtempo Live Electronica
* Experience Design Theory Discussion (The Experiential Growth Cycle)
* Music Production Masterclass, Teaching, Consulting
* Creative Music Breakthrough Counseling
* I Ching Readings & Oracular Practices
* Live Sound Engineer","
I seek to widen the conversation and find collaborators in the cultivation of a participatory, immersive, transformative group experience medium.  I’m calling in synergy to imagine, prototype, embody, and manifest the worlds we dream of and want to live in.","
What is the basic question of your work?  Can you imagine an immersive, interactive experience that would allow us to feel, hold and resonate with it for a few moments?  Share with me!",,
Eoghan O’Keeffe,https://earthone.world/alliance/eoghan-okeeffe,Celtic Light Ventures. Casa Damara.,"FOUNDER, CEO",Earth (35 countries last two years). Homes in San Francisco and Sedona.,www.celticlightventures.com,https://eoghan_okeeffe/,https://www.linkedin.com/in/eoghan-owen-o-keeffe-51464818?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,Earth,"Eoghan (“Ohn”) O’Keeffe is the founder and CEO of Celtic Light Ventures (CLV), an angel investing and philanthropy endeavor specializing in conscious businesses that focus on healing people and the planet. Current investments include Wisdom Ventures, Sacred Sons, Fantastic Fungi, Ready Platform, Harvey AI, Mattermore AI, Oh My Soul and Tulku. Eoghan is also a co-founder and Director of Casa Damara family healing retreats and a founding partner of the AI Angels, an AI investing consortium. Eoghan is an Executive Producer of the upcoming documentaries Christspiracy and Hidden Beauty. His philanthropy initiatives include supporting education in First Nation communities and aiding non-profits focused on mental health, women empowerment, Indigenous people, reforestation, and survivors of domestic violence. Eoghan is an advocate for mental health healing and the benefits to people and the planet of plant based, alcohol free living
Before founding CLV, Eoghan had a distinguished 20+ year career as an investment banker, advising technology company founders and boards on transformational transactions. As the Global Head of Technology Mergers and Acquisitions at Morgan Stanley, he advised on over $200 billion worth of deals and advising leading Private Equity and Venture Capital firms. Clients included Elon Musk, Silver Lake Partners, Vista Equity, Autodesk, SAP, Oracle and Twilio.
Eoghan holds an Honors degree in Economics from Harvard University. A lover of art and poetry, Eoghan is working on his first book of poetry.","
Have been on a deep healing and growth journey can give first hand experience going from. Asleep in matrix and many addictions to happy healed and healthy. We need to extract a lot of people …Also conscious investing, overcoming fear (went from afraid of heights to big wall BASE jumping and tiger shark safety diver. Am a certified end of life doula. Truth seeker, earth keeper investing in businesses helping people and planet heal. Not as deep as many in one topic, though wide breadth of interests and experiences","
More connections in conscious visionary and builder community. I unplugged from 20 plus year Matrix tour / Wall Street and am trying to build more connections with people like the Earth One community :) so we can align strengths and accelerate impact.","
It is time we accelerate building of new Conscious businesses and systems, awakening experiences that are earth conscious… we need to seduce people over to the healthy healed and happy side .. from all the awesome test kitchens. Healing as a foundation for people and the planet on which all the amazing new systems operate with much more ease.",,
Erica Blair,https://earthone.world/alliance/erica-blair,Burning Man Project,ASSOC. DIRECTOR OF ENGAGEMENT,"Berkeley, California, USA",www.burningman.org,,https://www.linkedin.com/in/ericamblair/,USA,"Erica Blair (better known as Erica Fuck Yeah) supports Burning Man Project’s latest projects around future visioning, decision making, and engagement strategy. A champion of new economic models, participatory governance, and philosophically informed decision making, Erica’s passion lies in bringing burners together to imagine how this movement can act as an effective lever for planetary paradigm shift.
With a background in brand strategy, experience design, and emerging technology, Erica’s focus has long been on unlocking the potential of decentralized networks via collaboration and connection.","
I focus on engaging people in participatory experiences that open new pathways for collaboration and connection. If you want to chat about experience design, including how to make events more immersive and engaging by avoiding content that could just as well be on YouTube, I’d love to talk. 

I have also deeply studied network governance at Burning Man and can provide perspective on network design from the standpoint of a network that is four decades into experimenting with the paradox between emergence and organization.","
I am seeking to connect with people who can advise on participatory governance models that might be able to work at some degree of scale. Burning Man is a relatively fractal ecosystem full of groups of all different sizes and needs. We need to figure out who should have a voice in shaping where the Burning Man event, organization, and culture goes from here, and how we might best implement new forms of decision making in a post-founder era. 

I am also interested generally in hearing from anyone who has thoughts on the future of Burning Man, how it could be most impactful as a cultural force in the world, what could and should change in the way Burning Man Project operates, and how we may continue to be bold in imagining what is next for this unique cultural force.","
I dedicate myself to Burning Man because I believe it creates the conditions where people can have an embodied experience of a new paradigm, one that operates (in some ways) on alternate economic logic, and relies deeply on collaborative effort to rise from the dust. 

I believe that the energy and resource expenditure that goes into Burning Man is only justifiable to the degree that it provides the platform for imagining the world anew, and prototyping the kind of world that we would like to live in. What will it take for Burning Man to more deeply embody the principles it espouses? How might we evolve this movement to meet the moment we are in today, and toward which the world is headed?

If these questions spark anything for you, let’s please connect.",,
Erik Trautman,https://earthone.world/alliance/erik-trautman,Lightship Global,ENTREPRENEUR,NYC + Austin,,https://erik-trautman/,,USA,"Serial entrepreneur (tech, web3, education), athlete, artist and aspiring musician uniting creativity, community and impact via a crazy lightship project and a world-positive family office. Pragmatically dreaming with an engineer's brain and a poet's soul.","
The intersection of technology, creativity and communities changes the world. I’m a multipurpose zero-to-one entrepreneur with stints in education, finance, web2 and web3 and happy to get practical on the details.","
Find high leverage areas where small checks can be catalyst capital. Site a 134’ steel lightship in Brooklyn. Scoping and launching an EA-style impact fund.  Trying to map the ecosystem of impact and its leverage points.","
What do you think are the highest leverage impact areas and strategies across all domains and how why haven't we solved them yet? What new tech, tools or human capital can we deploy towards them? What are the cutting edges of saving the world?",,
